date,year,month,day,day of week,weekend,Time,Hour,type,sandwiches,hamburger,frenchfries
2016/4/15,2016,4,15,6,1,13:29,13,0,4,2,0
2016/9/19,2016,9,19,2,0,21:42,21,0,3,2,2
2016/3/6,2016,3,6,1,0,13:31,13,2,2,2,2
2016/2/8,2016,2,8,2,0,20:37,20,1,2,0,0
2016/1/16,2016,1,16,7,1,17:09,17,2,2,0,2
2016/2/6,2016,2,6,7,1,21:17,21,0,3,1,0
2016/7/16,2016,7,16,7,1,11:34,11,0,6,0,1
2016/9/28,2016,9,28,4,0,13:02,13,1,3,0,1
2016/6/2,2016,6,2,5,0,19:24,19,1,7,2,1
2016/9/18,2016,9,18,1,0,14:11,14,2,7,0,0
2016/12/15,2016,12,15,5,0,15:40,15,1,7,2,0
2016/8/16,2016,8,16,3,0,14:14,14,0,4,2,1
2016/6/16,2016,6,16,5,0,15:50,15,2,4,1,2
2016/2/20,2016,2,20,7,1,15:25,15,0,2,0,0
2016/3/23,2016,3,23,4,0,12:49,12,1,4,1,0
2016/12/2,2016,12,2,6,1,20:50,20,1,2,1,0
2016/5/23,2016,5,23,2,0,18:09,18,1,7,2,2
2016/10/17,2016,10,17,2,0,20:12,20,2,4,0,2
2016/11/22,2016,11,22,3,0,11:56,11,0,4,2,0
2016/10/20,2016,10,20,5,0,16:44,16,1,7,1,2
2016/5/25,2016,5,25,4,0,11:07,11,2,2,2,0
2016/8/11,2016,8,11,5,0,21:21,21,2,3,1,0
2016/12/9,2016,12,9,6,1,21:25,21,2,4,0,0
2016/3/2,2016,3,2,4,0,16:53,16,0,6,0,1
2016/7/7,2016,7,7,5,0,14:07,14,2,6,0,2
2016/12/26,2016,12,26,2,0,16:50,16,2,4,0,2
2016/10/22,2016,10,22,7,1,20:58,20,2,5,0,1
2016/8/26,2016,8,26,6,1,18:22,18,0,3,2,1
2016/2/12,2016,2,12,6,1,15:08,15,1,6,2,2
2016/3/26,2016,3,26,7,1,17:10,17,2,5,2,1
2016/3/20,2016,3,20,1,0,17:35,17,0,2,0,1
2016/8/5,2016,8,5,6,1,17:43,17,1,2,0,0
2016/6/8,2016,6,8,4,0,15:10,15,2,5,1,1
2016/8/13,2016,8,13,7,1,15:25,15,1,7,2,1
2016/5/13,2016,5,13,6,1,19:07,19,0,5,1,0
2016/9/16,2016,9,16,6,1,21:53,21,2,6,1,2
2016/4/24,2016,4,24,1,0,11:08,11,1,7,1,2
2016/6/29,2016,6,29,4,0,18:11,18,0,4,1,1
2016/9/3,2016,9,3,7,1,21:15,21,1,4,0,2
2016/12/18,2016,12,18,1,0,14:51,14,0,2,1,2
2016/8/27,2016,8,27,7,1,16:29,16,1,7,1,2
2016/3/15,2016,3,15,3,0,16:25,16,2,4,0,0
2016/11/14,2016,11,14,2,0,11:40,11,2,3,0,0
2016/6/30,2016,6,30,5,0,18:46,18,0,6,1,1
2016/6/10,2016,6,10,6,1,15:48,15,1,5,2,0
2016/9/9,2016,9,9,6,1,17:04,17,1,5,0,0
2016/7/31,2016,7,31,1,0,16:52,16,1,2,2,1
2016/5/19,2016,5,19,5,0,12:06,12,0,3,1,2
2016/2/20,2016,2,20,7,1,15:42,15,0,4,2,1
2016/12/27,2016,12,27,3,0,21:35,21,2,6,1,0
2016/12/28,2016,12,28,4,0,20:03,20,1,3,1,1
2016/12/19,2016,12,19,2,0,20:29,20,0,3,0,2
2016/8/23,2016,8,23,3,0,15:12,15,0,2,1,0
2016/6/3,2016,6,3,6,1,12:00,12,0,3,0,2
2016/2/17,2016,2,17,4,0,15:02,15,1,7,0,2
2016/11/17,2016,11,17,5,0,21:32,21,2,4,1,0
2016/11/12,2016,11,12,7,1,12:33,12,0,7,1,2
2016/7/27,2016,7,27,4,0,19:19,19,0,7,1,1
2016/5/11,2016,5,11,4,0,11:37,11,2,4,2,2
2016/6/11,2016,6,11,7,1,17:32,17,2,3,0,0
2016/12/19,2016,12,19,2,0,18:02,18,0,7,1,0
2016/9/9,2016,9,9,6,1,15:37,15,0,4,1,0
2016/2/23,2016,2,23,3,0,11:54,11,0,6,0,2
2016/8/16,2016,8,16,3,0,15:07,15,2,7,0,0
2016/6/15,2016,6,15,4,0,14:51,14,0,2,0,2
2016/8/26,2016,8,26,6,1,15:19,15,0,5,0,2
2016/5/22,2016,5,22,1,0,16:54,16,2,4,2,1
2016/7/22,2016,7,22,6,1,11:07,11,2,3,2,0
2016/5/26,2016,5,26,5,0,20:42,20,2,7,0,2
2016/5/14,2016,5,14,7,1,20:03,20,0,7,1,2
2016/7/4,2016,7,4,2,0,20:35,20,0,3,2,1
2016/1/4,2016,1,4,2,0,21:36,21,2,7,2,1
2016/8/30,2016,8,30,3,0,11:18,11,0,2,1,2
2016/2/15,2016,2,15,2,0,19:02,19,1,2,0,2
2016/11/7,2016,11,7,2,0,14:08,14,1,4,2,1
2016/10/5,2016,10,5,4,0,20:18,20,2,3,0,0
2016/10/1,2016,10,1,7,1,21:39,21,0,4,2,0
2016/7/21,2016,7,21,5,0,17:35,17,2,2,1,1
2016/12/28,2016,12,28,4,0,13:56,13,2,5,2,0
2016/11/10,2016,11,10,5,0,15:40,15,2,6,2,0
2016/7/29,2016,7,29,6,1,16:54,16,0,2,1,1
2016/4/16,2016,4,16,7,1,19:46,19,2,3,2,2
2016/11/30,2016,11,30,4,0,12:30,12,1,3,1,1
2016/6/15,2016,6,15,4,0,18:00,18,1,6,2,1
2016/5/15,2016,5,15,1,0,21:22,21,0,4,0,2
2016/11/30,2016,11,30,4,0,21:51,21,1,5,0,2
2016/2/13,2016,2,13,7,1,12:42,12,2,4,1,0
2016/2/28,2016,2,28,1,0,11:38,11,1,4,1,1
2016/7/30,2016,7,30,7,1,18:50,18,1,6,0,1
2016/9/21,2016,9,21,4,0,11:32,11,2,2,1,1
2016/4/18,2016,4,18,2,0,17:56,17,0,7,2,0
2016/3/28,2016,3,28,2,0,20:23,20,2,2,0,2
2016/8/29,2016,8,29,2,0,15:33,15,0,7,1,1
2016/1/26,2016,1,26,3,0,17:22,17,0,7,2,2
2016/3/28,2016,3,28,2,0,11:21,11,1,3,1,2
2016/10/31,2016,10,31,2,0,16:41,16,2,2,2,2
2016/3/29,2016,3,29,3,0,17:28,17,1,6,1,1
2016/2/5,2016,2,5,6,1,13:58,13,1,3,0,0
2016/3/27,2016,3,27,1,0,17:41,17,2,7,1,0
2016/8/31,2016,8,31,4,0,15:12,15,0,5,2,1
2016/1/27,2016,1,27,4,0,19:32,19,1,3,2,2
2016/1/3,2016,1,3,1,0,15:00,15,1,7,0,1
2016/4/15,2016,4,15,6,1,21:53,21,2,6,1,2
2016/12/4,2016,12,4,1,0,13:44,13,0,2,1,2
2016/12/15,2016,12,15,5,0,18:31,18,2,6,0,2
2016/11/7,2016,11,7,2,0,13:02,13,2,7,0,2
2016/9/12,2016,9,12,2,0,20:34,20,2,5,2,1
2016/8/25,2016,8,25,5,0,19:14,19,0,3,2,1
2016/5/29,2016,5,29,1,0,14:18,14,2,7,1,2
2016/12/23,2016,12,23,6,1,15:51,15,0,7,2,2
2016/10/15,2016,10,15,7,1,18:12,18,0,7,0,2
2016/6/3,2016,6,3,6,1,11:36,11,2,4,2,1
2016/4/25,2016,4,25,2,0,12:44,12,1,2,0,2
2016/7/16,2016,7,16,7,1,12:11,12,0,5,1,0
2016/3/4,2016,3,4,6,1,16:13,16,0,3,1,1
2016/4/3,2016,4,3,1,0,18:05,18,1,4,2,0
2016/9/4,2016,9,4,1,0,20:01,20,0,7,1,2
2016/6/18,2016,6,18,7,1,17:38,17,0,5,1,1
2016/11/29,2016,11,29,3,0,16:32,16,0,4,1,0
2016/1/29,2016,1,29,6,1,20:16,20,2,5,1,0
2016/11/1,2016,11,1,3,0,11:11,11,2,2,2,2
2016/2/4,2016,2,4,5,0,20:09,20,1,6,0,2
2016/2/11,2016,2,11,5,0,19:45,19,1,2,1,2
2016/4/29,2016,4,29,6,1,18:56,18,0,3,1,0
2016/7/16,2016,7,16,7,1,21:15,21,2,4,0,0
2016/9/6,2016,9,6,3,0,14:37,14,1,3,0,0
2016/6/17,2016,6,17,6,1,15:22,15,0,6,0,1
2016/6/21,2016,6,21,3,0,16:10,16,1,7,1,1
2016/4/17,2016,4,17,1,0,17:05,17,2,3,0,2
2016/7/1,2016,7,1,6,1,12:18,12,2,3,1,0
2016/4/12,2016,4,12,3,0,13:21,13,2,7,0,1
2016/5/5,2016,5,5,5,0,16:39,16,2,6,0,1
2016/6/4,2016,6,4,7,1,17:01,17,2,4,1,1
2016/4/1,2016,4,1,6,1,13:59,13,0,4,2,1
2016/1/21,2016,1,21,5,0,19:52,19,1,6,0,0
2016/6/26,2016,6,26,1,0,21:37,21,0,3,1,1
2016/10/2,2016,10,2,1,0,11:24,11,0,3,1,2
2016/8/25,2016,8,25,5,0,12:17,12,0,3,2,1
2016/2/10,2016,2,10,4,0,15:29,15,1,7,2,0
2016/2/2,2016,2,2,3,0,14:33,14,0,3,0,1
2016/10/12,2016,10,12,4,0,21:25,21,2,7,0,2
2016/8/24,2016,8,24,4,0,13:03,13,2,4,0,2
2016/6/7,2016,6,7,3,0,14:40,14,0,4,1,2
2016/11/14,2016,11,14,2,0,13:56,13,0,5,2,0
2016/5/10,2016,5,10,3,0,21:24,21,0,2,0,2
2016/8/8,2016,8,8,2,0,21:39,21,1,5,2,0
2016/7/1,2016,7,1,6,1,21:44,21,1,5,0,2
2016/6/22,2016,6,22,4,0,18:04,18,2,4,1,1
2016/9/26,2016,9,26,2,0,18:59,18,2,5,0,2
2016/6/4,2016,6,4,7,1,12:10,12,0,2,1,1
2016/12/7,2016,12,7,4,0,12:30,12,1,6,2,0
2016/8/7,2016,8,7,1,0,20:42,20,0,2,2,0
2016/9/28,2016,9,28,4,0,12:59,12,1,3,0,2
2016/8/17,2016,8,17,4,0,14:54,14,2,2,1,0
2016/7/20,2016,7,20,4,0,13:09,13,0,3,0,2
2016/8/11,2016,8,11,5,0,16:05,16,0,2,1,0
2016/11/18,2016,11,18,6,1,18:39,18,2,5,0,1
2016/3/12,2016,3,12,7,1,15:48,15,0,2,1,1
2016/5/9,2016,5,9,2,0,15:12,15,2,2,2,2
2016/7/9,2016,7,9,7,1,13:19,13,2,3,0,2
2016/3/26,2016,3,26,7,1,11:11,11,2,7,2,0
2016/3/8,2016,3,8,3,0,14:18,14,2,2,0,1
2016/8/3,2016,8,3,4,0,16:31,16,0,3,0,2
2016/5/26,2016,5,26,5,0,15:45,15,0,2,0,1
2016/3/23,2016,3,23,4,0,15:25,15,1,5,1,0
2016/3/25,2016,3,25,6,1,14:33,14,0,4,1,1
2016/8/4,2016,8,4,5,0,17:24,17,2,2,1,0
2016/1/9,2016,1,9,7,1,11:40,11,2,5,2,0
2016/2/9,2016,2,9,3,0,16:08,16,0,3,0,1
2016/3/7,2016,3,7,2,0,11:53,11,0,7,1,1
2016/7/24,2016,7,24,1,0,21:02,21,1,5,2,0
2016/6/6,2016,6,6,2,0,15:11,15,2,5,1,1
2016/3/6,2016,3,6,1,0,14:50,14,0,5,1,1
2016/5/9,2016,5,9,2,0,18:30,18,1,5,1,1
2016/6/3,2016,6,3,6,1,19:33,19,1,4,0,0
2016/11/20,2016,11,20,1,0,13:24,13,1,7,0,0
2016/1/11,2016,1,11,2,0,17:03,17,2,3,1,2
2016/6/16,2016,6,16,5,0,13:39,13,2,2,1,1
2016/12/15,2016,12,15,5,0,21:47,21,2,3,2,2
2016/12/16,2016,12,16,6,1,11:25,11,1,3,2,2
2016/9/22,2016,9,22,5,0,20:46,20,0,7,0,2
2016/9/25,2016,9,25,1,0,11:17,11,0,3,1,0
2016/3/25,2016,3,25,6,1,20:51,20,0,6,2,1
2016/6/25,2016,6,25,7,1,17:09,17,0,7,1,1
2016/8/20,2016,8,20,7,1,15:02,15,1,5,0,0
2016/2/19,2016,2,19,6,1,12:39,12,0,5,1,2
2016/11/27,2016,11,27,1,0,11:54,11,1,3,1,1
2016/5/2,2016,5,2,2,0,20:16,20,1,6,2,2
2016/9/16,2016,9,16,6,1,21:03,21,0,2,1,2
2016/10/18,2016,10,18,3,0,14:38,14,1,2,0,2
2016/2/26,2016,2,26,6,1,21:29,21,1,7,1,1
2016/7/20,2016,7,20,4,0,20:36,20,0,5,1,2
2016/1/6,2016,1,6,4,0,20:35,20,1,2,1,1
2016/1/2,2016,1,2,7,1,12:31,12,2,3,2,1
2016/9/3,2016,9,3,7,1,13:35,13,2,4,1,1
